lat,lon
2423.401371248911,6051.61244350291
2422.6149030907636,6051.977207486673
2423.7770346490934,6050.2311020619345
2423.73323207754,6050.271066588805
2423.737740006818,6050.266661112464
2423.702992698798,6050.266251300712
2419.849517027446,6052.669497751682
2422.2047603363994,6052.402190155077
2424.2645136097635,6051.187263809623
2423.2207861239444,6052.063662004474
2422.587934325047,6050.633813037786
2422.4421516750676,6051.290961945014
2419.586181452443,6056.805270672589
2422.549159828458,6051.40698595696
2422.476449766359,6050.6240800086625
2421.9633339281677,6049.833214255172
2420.8681277814303,6049.950743537209
2420.217220622434,6050.480031177635
2420.308017568613,6050.442367901376
2419.300763328772,6056.487564111414
2422.1613360526185,6050.90324062211
2422.8957896421703,6051.233028748991
2418.996580555431,6050.322907775504
2422.6824195769987,6052.403451114315
2422.063469853708,6052.856734436632
2422.314069740401,6052.661687685398
2422.133098446667,6052.400401169157
2423.041296457316,6053.414346373958
2422.4370999571174,6051.282836638919
2422.841757538794,6051.816577041658
2421.2543674772264,6049.59703658977
2421.1791512586406,6049.4885940952445
2422.251951735906,6050.958612494679
2422.87195751256,6048.20281760257
2419.896676902972,6052.649653405664
2421.405982063685,6049.82629474135
